Date,Brand,SKU,Recommended Price
04/01/2015,CORONA EXTRA,6 Pk 12 Oz Glass,11.99
04/01/2015,CORONA LIGHT,6 Pk 12 Oz Glass,12.99
04/01/2015,STELLA ARTOIS,6 Pk 11.2 Oz Glass,13.99
04/01/2015,LEFFE BLONDE,6 Pk 11.2 Oz Glass,12.99
04/01/2015,BECKS,6 Pk 12 Oz Glass,10.99
04/01/2015,HOEGAARDEN,6 Pk 11.2 Oz Glass,12.99
04/01/2015,MILLER LITE,6 Pk 12 Oz Glass,10.49
04/01/2015,BUD LIGHT,6 Pk 12 Oz Glass,10.99
04/01/2015,BUD LIGHT PLATINUM,6 Pk 12 Oz Glass,10.99
04/01/2015,BUDWEISER,6 Pk 12 Oz Glass,10.49
04/01/2015,COORS LIGHT,6 Pk 12 Oz Glass,10.49
04/01/2015,MILLER LITE,12 Pk 12 Oz Glass,14.49
04/01/2015,MILLER LITE,12 Pk 12 Oz Can,14.99
04/01/2015,SIERRA NEVADA PALE ALE,6 Pk 12 Oz Glass,13.49
04/01/2015,SIERRA NEVADA TORPEDO,6 Pk 12 Oz Glass,13.49
04/01/2015,BROOKLYN PILSNER,6 Pk 12 Oz Glass,12.99
04/01/2015,BROOKLYN OKTOBERFEST,6 Pk 12 Oz Glass,13.49
04/01/2015,BLUE POINT TOASTED,6 Pk 12 Oz Glass,12.49
04/01/2015,MAGIC HAT,6 Pk 12 Oz Glass,12.49
04/01/2015,BROOKLYN INDIA PALE,6 Pk 12 Oz Glass,11.49
11/01/2015,CORONA EXTRA,6 Pk 12 Oz Glass,12.99
11/01/2015,CORONA LIGHT,6 Pk 12 Oz Glass,12.49
11/01/2015,STELLA ARTOIS,6 Pk 11.2 Oz Glass,12.49
11/01/2015,LEFFE BLONDE,6 Pk 11.2 Oz Glass,12.49
11/01/2015,BECKS,6 Pk 12 Oz Glass,10.99
11/01/2015,HOEGAARDEN,6 Pk 11.2 Oz Glass,13.99
11/01/2015,MILLER LITE,6 Pk 12 Oz Glass,10.99
11/01/2015,BUD LIGHT,6 Pk 12 Oz Glass,9.99
11/01/2015,BUD LIGHT PLATINUM,6 Pk 12 Oz Glass,11.99
11/01/2015,BUDWEISER,6 Pk 12 Oz Glass,10.99
11/01/2015,COORS LIGHT,6 Pk 12 Oz Glass,9.49
11/01/2015,MILLER LITE,12 Pk 12 Oz Glass,14.99
11/01/2015,MILLER LITE,12 Pk 12 Oz Can,13.49
11/01/2015,SIERRA NEVADA PALE ALE,6 Pk 12 Oz Glass,13.49
11/01/2015,SIERRA NEVADA TORPEDO,6 Pk 12 Oz Glass,12.49
11/01/2015,BROOKLYN PILSNER,6 Pk 12 Oz Glass,12.49
11/01/2015,BROOKLYN OKTOBERFEST,6 Pk 12 Oz Glass,13.99
11/01/2015,BLUE POINT TOASTED,6 Pk 12 Oz Glass,12.49
11/01/2015,MAGIC HAT,6 Pk 12 Oz Glass,12.99
11/01/2015,BROOKLYN INDIA PALE,6 Pk 12 Oz Glass,11.99
18/01/2015,CORONA EXTRA,6 Pk 12 Oz Glass,12.99
18/01/2015,CORONA LIGHT,6 Pk 12 Oz Glass,12.99
18/01/2015,STELLA ARTOIS,6 Pk 11.2 Oz Glass,12.49
18/01/2015,LEFFE BLONDE,6 Pk 11.2 Oz Glass,13.99
18/01/2015,BECKS,6 Pk 12 Oz Glass,11.49
18/01/2015,HOEGAARDEN,6 Pk 11.2 Oz Glass,13.99
18/01/2015,MILLER LITE,6 Pk 12 Oz Glass,9.49
18/01/2015,BUD LIGHT,6 Pk 12 Oz Glass,10.49
18/01/2015,BUD LIGHT PLATINUM,6 Pk 12 Oz Glass,11.99
18/01/2015,BUDWEISER,6 Pk 12 Oz Glass,10.99
18/01/2015,COORS LIGHT,6 Pk 12 Oz Glass,10.99
18/01/2015,MILLER LITE,12 Pk 12 Oz Glass,14.49
18/01/2015,MILLER LITE,12 Pk 12 Oz Can,13.99
18/01/2015,SIERRA NEVADA PALE ALE,6 Pk 12 Oz Glass,13.99
18/01/2015,SIERRA NEVADA TORPEDO,6 Pk 12 Oz Glass,13.49
18/01/2015,BROOKLYN PILSNER,6 Pk 12 Oz Glass,12.49
18/01/2015,BROOKLYN OKTOBERFEST,6 Pk 12 Oz Glass,13.99
18/01/2015,BLUE POINT TOASTED,6 Pk 12 Oz Glass,12.49
18/01/2015,MAGIC HAT,6 Pk 12 Oz Glass,12.99
18/01/2015,BROOKLYN INDIA PALE,6 Pk 12 Oz Glass,11.99
25/01/2015,CORONA EXTRA,6 Pk 12 Oz Glass,12.99
25/01/2015,CORONA LIGHT,6 Pk 12 Oz Glass,12.99
25/01/2015,STELLA ARTOIS,6 Pk 11.2 Oz Glass,12.49
25/01/2015,LEFFE BLONDE,6 Pk 11.2 Oz Glass,13.49
25/01/2015,BECKS,6 Pk 12 Oz Glass,11.99
25/01/2015,HOEGAARDEN,6 Pk 11.2 Oz Glass,13.49
25/01/2015,MILLER LITE,6 Pk 12 Oz Glass,10.99
25/01/2015,BUD LIGHT,6 Pk 12 Oz Glass,9.99
25/01/2015,BUD LIGHT PLATINUM,6 Pk 12 Oz Glass,11.99
25/01/2015,BUDWEISER,6 Pk 12 Oz Glass,9.49
25/01/2015,COORS LIGHT,6 Pk 12 Oz Glass,9.99
25/01/2015,MILLER LITE,12 Pk 12 Oz Glass,14.99
25/01/2015,MILLER LITE,12 Pk 12 Oz Can,14.49
25/01/2015,SIERRA NEVADA PALE ALE,6 Pk 12 Oz Glass,13.99
25/01/2015,SIERRA NEVADA TORPEDO,6 Pk 12 Oz Glass,13.49
25/01/2015,BROOKLYN PILSNER,6 Pk 12 Oz Glass,11.49
25/01/2015,BROOKLYN OKTOBERFEST,6 Pk 12 Oz Glass,12.99
25/01/2015,BLUE POINT TOASTED,6 Pk 12 Oz Glass,12.49
25/01/2015,MAGIC HAT,6 Pk 12 Oz Glass,12.49
25/01/2015,BROOKLYN INDIA PALE,6 Pk 12 Oz Glass,11.99
01/02/2015,CORONA EXTRA,6 Pk 12 Oz Glass,12.99
01/02/2015,CORONA LIGHT,6 Pk 12 Oz Glass,12.49
01/02/2015,STELLA ARTOIS,6 Pk 11.2 Oz Glass,12.49
01/02/2015,LEFFE BLONDE,6 Pk 11.2 Oz Glass,12.99
01/02/2015,BECKS,6 Pk 12 Oz Glass,11.99
01/02/2015,HOEGAARDEN,6 Pk 11.2 Oz Glass,13.99
01/02/2015,MILLER LITE,6 Pk 12 Oz Glass,10.49
01/02/2015,BUD LIGHT,6 Pk 12 Oz Glass,10.49
01/02/2015,BUD LIGHT PLATINUM,6 Pk 12 Oz Glass,11.49
01/02/2015,BUDWEISER,6 Pk 12 Oz Glass,10.99
01/02/2015,COORS LIGHT,6 Pk 12 Oz Glass,9.99
01/02/2015,MILLER LITE,12 Pk 12 Oz Glass,14.99
01/02/2015,MILLER LITE,12 Pk 12 Oz Can,14.99
01/02/2015,SIERRA NEVADA PALE ALE,6 Pk 12 Oz Glass,13.49
01/02/2015,SIERRA NEVADA TORPEDO,6 Pk 12 Oz Glass,13.99
